,state/ut,district,year,murder,assault on women,kidnapping and abduction,dacoity,robbery,arson,hurt,prevention of atrocities (poa) act,protection of civil rights (pcr) act,other crimes against scs,total_atrocities
738,assam,karimganj,2002,0,0,0,0,0,0,0,0,0,0,0
739,assam,kokrajhar,2002,0,0,0,0,0,0,0,0,0,0,0
740,assam,lakhimpur,2002,0,0,0,0,0,0,0,0,0,0,0
741,assam,morigaon,2002,0,0,0,0,0,0,0,0,0,6,6
742,assam,n.c.hills,2002,0,0,0,0,0,0,0,0,0,0,0
743,assam,nagaon,2002,0,0,0,0,0,0,0,0,0,0,0
744,assam,nalbari,2002,0,0,0,0,0,0,0,0,0,0,0
745,assam,r.p.o.,2002,0,0,0,0,0,0,0,0,0,0,0
746,assam,sibsagar,2002,0,0,0,0,0,0,0,0,0,0,0
747,assam,sonitpur,2002,0,0,0,0,0,0,0,0,0,0,0
748,assam,tinsukia,2002,0,0,0,0,0,0,0,0,0,0,0
749,bihar,araria,2002,5,12,0,0,0,0,3,3,0,17,40
750,bihar,arwal,2002,0,0,0,0,0,1,0,2,0,2,5
751,bihar,aurangabad,2002,0,0,0,0,0,0,11,11,0,0,22
752,bihar,bagaha,2002,0,0,0,0,0,0,0,22,0,0,22
753,bihar,banka,2002,0,0,0,0,0,0,0,3,0,5,8
754,bihar,begusarai,2002,0,0,0,0,0,0,3,29,0,11,43
755,bihar,bettiah,2002,5,0,0,0,0,0,83,25,0,0,113
756,bihar,bhabhua,2002,1,0,0,0,0,0,0,0,0,8,9
757,bihar,bhagalpur,2002,0,2,0,0,0,0,0,41,0,39,82
758,bihar,bhojpur,2002,0,0,0,0,0,0,0,2,1,3,6
759,bihar,buxar,2002,0,0,0,0,0,0,15,15,15,0,45
760,bihar,darbhanga,2002,0,0,0,0,0,0,0,43,0,0,43
761,bihar,gaya,2002,0,1,0,0,0,0,6,45,0,0,52
762,bihar,gopalganj,2002,0,0,0,0,0,3,7,8,0,3,21
763,bihar,jamalpur rly.,2002,0,0,0,0,0,0,0,0,0,0,0
764,bihar,jamui,2002,0,0,0,0,0,0,1,0,3,0,4
765,bihar,jehanabad,2002,9,3,0,2,4,0,0,22,0,0,40
766,bihar,katihar,2002,0,0,0,0,0,0,21,21,0,0,42
767,bihar,katihar rly.,2002,0,0,0,0,0,0,0,0,0,0,0
768,bihar,khagaria,2002,0,0,0,0,0,0,5,0,0,2,7
769,bihar,kishanganj,2002,0,0,0,0,0,0,0,4,2,4,10
770,bihar,lakhisarai,2002,1,0,1,0,0,0,0,2,0,0,4
